FC1,v,h,al,be,phi,th,psi,p,q,r
dv,-7.53131E-03,1.00081E-05,1.91377E+01,0.00000E+00,0.00000E+00,-3.21277E+01,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
dh,0.00000E+00,0.00000E+00,-6.34401E+02,0.00000E+00,0.00000E+00,6.34401E+02,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
dal,-1.80473E-04,1.60142E-06,-9.86537E-01,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,9.90119E-01,0.00000E+00
dbe,0.00000E+00,0.00000E+00,0.00000E+00,-2.38641E-01,5.06409E-02,0.00000E+00,0.00000E+00,6.45849E-03,0.00000E+00,-9.991114E-01
dphi,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
dth,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,0.00000E+00
dpsi,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00
dp,0.00000E+00,0.00000E+00,0.00000E+00,-2.43879E+01,0.00000E+00,0.00000E+00,0.00000E+00,-5.86251E+00,-3.38595E-02,8.37616E-01
dq,-2.95692E-04,-6.07674E-07,-6.29754E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.48542E-03,-7.12991E-01,1.0012E-01
dr,0.00000E+00,0.00000E+00,0.00000E+00,6.14001E+00,0.00000E+00,0.00000E+00,0.00000E+00,-1.2752E-01,-9.45255E-02,-6.67316E-01
