FC3,v,h,al,be,phi,th,psi,p,q,r
dv,-2.41E-02,-3.14E-05,5.09E-01,1.27E+01,-2.78E-01,-3.21E+01,0.00E+00,1.35E-02,-1.38E-03,-6.88E-02
dh,0.00E+00,0.00E+00,-9.33E+02,0.00E+00,8.09E+00,9.33E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
dal,-7.39E-05,1.12E-06,-8.04E-02,8.03E-02,0.00E+00,0.00E+00,0.00E+00,8.14E-03,9.92E-01,-7.49E-05
dbe,1.06E-05,4.02E-08,-9.18E-02,-3.46E-01,3.44E-02,-2.98E-04,0.00E+00,3.85E-02,1.70E-04,-9.91E-01
dphi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
dth,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00
dpsi,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
dp,-1.95E-03,4.48E-05,1.33E+01,-8.48E+01,0.00E+00,0.00E+00,0.00E+00,-2.46E+00,1.47E+00,2.35E+00
dq,-7.96E-04,-1.27E-05,-1.71E+01,1.25E-01,0.00E+00,0.00E+00,0.00E+00,1.42E-01,-1.27E+00,1.99E-01
dr,-7.10E-04,-1.05E-06,-2.02E+00,1.30E+01,0.00E+00,0.00E+00,0.00E+00,3.56E-02,-5.00E-03,-9.24E-01
